Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,10.82,10.82,10.62,10.78,4805400,10.78
2015-10-15,10.62,10.79,10.51,10.78,5730900,10.78
2015-10-14,10.64,10.76,10.56,10.57,5148600,10.57
2015-10-13,10.64,10.85,10.62,10.63,6085600,10.63
2015-10-12,10.73,10.84,10.65,10.71,3715400,10.71
2015-10-09,10.77,10.84,10.65,10.72,4883000,10.72
2015-10-08,10.49,10.80,10.47,10.76,5126500,10.76
2015-10-07,10.55,10.75,10.48,10.53,9647600,10.53
2015-10-06,10.24,10.46,10.15,10.46,9117400,10.46
2015-10-05,10.15,10.41,10.14,10.27,6928000,10.27
2015-10-02,9.81,10.09,9.79,10.09,5726900,10.09
2015-10-01,9.86,10.00,9.72,9.89,8674000,9.89
2015-09-30,9.53,9.82,9.47,9.79,11230200,9.79
2015-09-29,9.81,9.86,9.42,9.46,7914500,9.46
2015-09-28,9.92,10.05,9.79,9.81,6550300,9.81
2015-09-25,10.08,10.16,9.91,9.96,8741400,9.96
2015-09-24,10.05,10.08,9.85,10.00,9994500,10.00
2015-09-23,10.50,10.51,10.14,10.14,8352600,10.14
2015-09-22,10.73,10.78,10.43,10.48,9473700,10.48
2015-09-21,11.00,11.09,10.75,10.78,5736900,10.78
2015-09-18,11.05,11.12,10.88,10.94,8853200,10.94
2015-09-17,11.18,11.38,11.06,11.17,6151400,11.17
2015-09-16,11.15,11.20,11.10,11.18,7140400,11.18
2015-09-15,11.11,11.17,10.99,11.12,5515200,11.12
2015-09-14,11.12,11.25,10.99,11.07,5439800,11.07
2015-09-11,11.20,11.24,11.05,11.13,3937400,11.13
2015-09-10,11.23,11.47,11.21,11.24,6731200,11.24
2015-09-09,11.39,11.56,11.27,11.30,5730900,11.30
2015-09-08,11.24,11.36,11.09,11.32,7683400,11.32
2015-09-04,11.32,11.32,11.00,11.03,4799600,11.03
2015-09-03,11.35,11.51,11.25,11.44,6344100,11.44
2015-09-02,11.60,11.63,11.22,11.32,5899100,11.32
2015-09-01,11.78,11.80,11.34,11.44,6132200,11.44
2015-08-31,12.03,12.07,11.82,12.00,6398500,12.00
2015-08-28,11.86,12.14,11.81,12.10,4923800,12.10
2015-08-27,11.76,11.91,11.65,11.87,8181700,11.87
2015-08-26,11.56,11.68,11.40,11.65,8570500,11.65
2015-08-25,11.79,11.90,11.33,11.34,9263200,11.34
2015-08-24,11.27,11.73,11.15,11.53,16718300,11.53
2015-08-21,12.16,12.33,11.92,12.00,5415600,12.00
2015-08-20,12.41,12.61,12.29,12.31,5791500,12.31
2015-08-19,12.73,12.75,12.45,12.54,4926000,12.54
2015-08-18,12.85,12.87,12.75,12.82,3080100,12.82
2015-08-17,12.80,12.99,12.67,12.87,4593400,12.87
2015-08-14,12.62,12.86,12.60,12.81,3262300,12.81
2015-08-13,13.01,13.21,12.63,12.66,5940900,12.66
2015-08-12,12.33,13.10,12.33,13.06,7759600,13.06
2015-08-11,12.65,12.80,12.27,12.35,5909400,12.35
2015-08-10,12.58,12.78,12.51,12.68,3420100,12.68
2015-08-07,12.64,12.79,12.58,12.64,4147600,12.64
2015-08-06,12.58,12.63,12.34,12.60,5253400,12.60
2015-08-05,12.61,12.78,12.56,12.59,2677200,12.59
2015-08-04,12.71,12.83,12.53,12.56,2903500,12.56
2015-08-03,12.82,12.94,12.66,12.73,3023700,12.73
2015-07-31,12.81,12.96,12.76,12.80,4256500,12.80
2015-07-30,12.75,12.85,12.66,12.69,4720300,12.69
2015-07-29,12.80,12.84,12.70,12.83,6472300,12.73
2015-07-28,12.93,13.01,12.71,12.77,5980600,12.670468
2015-07-27,12.73,12.99,12.69,12.93,5414800,12.829221
2015-07-24,12.92,12.92,12.68,12.79,3495300,12.690311
2015-07-23,13.14,13.20,12.88,12.94,4408000,12.839142
2015-07-22,12.90,13.22,12.90,13.17,5692200,13.06735
2015-07-21,13.02,13.02,12.87,12.94,3617400,12.839142
2015-07-20,13.17,13.17,12.94,13.08,5091500,12.978051
2015-07-17,13.35,13.38,13.14,13.21,4233400,13.107038
2015-07-16,13.20,13.38,13.14,13.35,4576000,13.245947
2015-07-15,13.10,13.19,13.05,13.18,6103400,13.077272
2015-07-14,13.05,13.25,13.05,13.12,6135600,13.017739
2015-07-13,13.17,13.19,13.02,13.05,4851900,12.948285
2015-07-10,13.04,13.16,13.03,13.10,6068600,12.997896
2015-07-09,12.99,13.13,12.99,13.01,6932200,12.908597
2015-07-08,13.19,13.34,12.78,12.91,7149300,12.809376
2015-07-07,13.22,13.34,13.17,13.24,8859100,13.136804
2015-07-06,13.24,13.30,13.11,13.20,3919700,13.097116
2015-07-02,13.27,13.40,13.16,13.30,3617500,13.196337
2015-07-01,13.30,13.36,13.15,13.19,4997500,13.087193
2015-06-30,13.21,13.30,13.05,13.26,6799700,13.156648
2015-06-29,13.41,13.52,13.15,13.16,4530100,13.057427
2015-06-26,13.49,13.53,13.33,13.46,5044700,13.355089
2015-06-25,13.64,13.66,13.47,13.53,4029100,13.424543
2015-06-24,13.72,13.80,13.54,13.64,5063500,13.533687
2015-06-23,13.94,13.97,13.67,13.71,5309400,13.603141
2015-06-22,13.89,14.02,13.77,13.94,4468300,13.831348
2015-06-19,13.87,13.97,13.77,13.85,6009000,13.74205
2015-06-18,13.67,13.88,13.61,13.85,5044800,13.74205
2015-06-17,13.61,13.73,13.52,13.67,5207500,13.563453
2015-06-16,13.47,13.60,13.33,13.58,3959700,13.474154
2015-06-15,13.33,13.48,13.28,13.44,5385800,13.335245
2015-06-12,13.48,13.52,13.31,13.35,3640200,13.245947
2015-06-11,13.40,13.58,13.32,13.52,4962400,13.414622
2015-06-10,13.64,13.65,13.30,13.32,5886500,13.21618
2015-06-09,13.07,13.51,13.06,13.51,9146200,13.4047
2015-06-08,13.12,13.16,13.02,13.08,4516900,12.978051
2015-06-05,13.09,13.24,12.98,13.15,8965600,13.047505
2015-06-04,13.08,13.16,13.00,13.02,5949000,12.918519
2015-06-03,13.44,13.45,12.90,13.15,7423400,13.047505
2015-06-02,13.56,13.57,13.29,13.45,5670500,13.345167
2015-06-01,13.59,13.73,13.51,13.64,5456900,13.533687
2015-05-29,13.33,13.60,13.29,13.60,7877800,13.493998
2015-05-28,13.39,13.47,13.30,13.33,3498600,13.226102
2015-05-27,13.63,13.65,13.39,13.44,4055900,13.335245
2015-05-26,13.68,13.70,13.37,13.42,5193500,13.315401
2015-05-22,13.73,13.79,13.60,13.70,4367900,13.593218
2015-05-21,13.62,13.79,13.57,13.78,4188200,13.672595
2015-05-20,13.66,13.79,13.60,13.63,7149900,13.523764
2015-05-19,13.68,13.68,13.31,13.62,7772500,13.513842
2015-05-18,13.66,13.76,13.58,13.74,3979600,13.632907
2015-05-15,13.56,13.75,13.49,13.70,4707600,13.593218
2015-05-14,13.50,13.59,13.34,13.54,9334000,13.434466
2015-05-13,13.48,13.50,13.30,13.36,46067600,13.255868
2015-05-12,13.57,13.72,13.36,13.71,8164600,13.603141
2015-05-11,13.29,13.84,13.20,13.68,6797700,13.573375
2015-05-08,13.72,13.83,13.57,13.66,6244500,13.55353
2015-05-07,13.49,13.65,13.38,13.54,4461000,13.434466
2015-05-06,13.49,13.52,13.30,13.45,6778000,13.345167
2015-05-05,13.60,13.60,13.44,13.48,7864900,13.374933
2015-05-04,13.42,13.72,13.31,13.64,5057000,13.533687
2015-05-01,13.24,13.30,13.05,13.27,3362800,13.166571
2015-04-30,13.42,13.43,13.15,13.25,6241600,13.047506
2015-04-29,13.27,13.47,13.12,13.45,7989500,13.244449
2015-04-28,13.24,13.39,13.13,13.39,3413900,13.185367
2015-04-27,13.54,13.61,13.23,13.25,4778000,13.047506
2015-04-24,13.33,13.67,13.27,13.46,4989100,13.254297
2015-04-23,13.51,13.62,13.30,13.31,4945000,13.106589
2015-04-22,13.42,13.59,13.18,13.56,8470900,13.352769
2015-04-21,13.25,13.39,13.00,13.33,10480800,13.126283
2015-04-20,13.18,13.40,13.17,13.24,2949500,13.037659
2015-04-17,13.17,13.34,13.13,13.16,2823200,12.958881
2015-04-16,13.30,13.42,13.20,13.28,3877900,13.077047
2015-04-15,13.31,13.41,13.28,13.35,4993300,13.145978
2015-04-14,13.02,13.27,12.99,13.27,3806000,13.067201
