Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,30.709999,31.209999,30.559999,31.15,1267600,31.15
2015-10-15,30.33,30.73,30.030001,30.620001,1337800,30.620001
2015-10-14,30.549999,30.99,30.02,30.16,1527400,30.16
2015-10-13,30.83,30.969999,30.49,30.52,1230100,30.52
2015-10-12,30.92,31.120001,30.85,30.950001,1233900,30.950001
2015-10-09,30.940001,31.23,30.85,30.889999,1212800,30.889999
2015-10-08,30.75,31.01,30.60,30.92,2214800,30.92
2015-10-07,30.40,31.02,30.110001,30.940001,2433800,30.940001
2015-10-06,30.93,30.969999,30.24,30.41,1022300,30.41
2015-10-05,31.049999,31.16,30.57,31.01,1669300,31.01
2015-10-02,29.799999,30.92,29.51,30.83,1959900,30.83
2015-10-01,29.709999,30.07,29.24,30.040001,1767400,30.040001
2015-09-30,29.07,29.790001,28.700001,29.639999,2750800,29.639999
2015-09-29,29.52,29.709999,28.370001,28.809999,5693300,28.809999
2015-09-28,31.049999,31.59,29.389999,29.450001,4284000,29.450001
2015-09-25,31.43,31.559999,30.940001,31.139999,359400,31.139999
2015-09-24,31.370001,31.49,30.879999,31.219999,1182800,31.219999
2015-09-23,31.299999,31.610001,31.219999,31.58,743300,31.58
2015-09-22,31.57,31.58,30.799999,31.290001,932400,31.290001
2015-09-21,31.92,32.060001,31.57,31.83,867300,31.83
2015-09-18,31.559999,31.940001,31.540001,31.67,1414800,31.67
2015-09-17,31.60,32.150002,31.450001,31.90,1168100,31.90
2015-09-16,31.34,31.76,31.17,31.620001,1098300,31.620001
2015-09-15,31.459999,31.65,30.98,31.40,1803800,31.40
2015-09-14,31.68,31.68,31.23,31.379999,1728800,31.379999
2015-09-11,31.18,31.74,31.030001,31.690001,1247600,31.690001
2015-09-10,31.23,31.60,31.07,31.26,786500,31.26
2015-09-09,31.82,32.009998,31.18,31.219999,1172100,31.219999
2015-09-08,31.59,32.919998,31.23,31.60,919200,31.60
2015-09-04,31.08,31.23,30.809999,30.950001,396000,30.950001
2015-09-03,31.360001,31.530001,31.18,31.34,936600,31.34
2015-09-02,31.15,31.33,30.860001,31.26,1315000,31.26
2015-09-01,30.83,31.17,30.620001,30.879999,1598000,30.879999
2015-08-31,31.52,31.530001,31.15,31.34,2233400,31.34
2015-08-28,31.93,31.93,31.43,31.60,1393900,31.60
2015-08-27,31.32,31.99,31.07,31.98,2097300,31.98
2015-08-26,31.09,31.120001,29.940001,31.049999,3124700,31.049999
2015-08-25,31.34,31.42,30.49,30.51,2720700,30.51
2015-08-24,28.879999,31.43,28.09,30.719999,3700200,30.719999
2015-08-21,32.32,32.630001,32.189999,32.25,3071900,32.25
2015-08-20,33.060001,33.169998,32.580002,32.619999,2607500,32.619999
2015-08-19,33.18,33.779999,33.029999,33.490002,5587100,33.490002
2015-08-18,32.68,33.380001,32.419998,33.25,8720600,33.25
2015-08-17,32.119999,32.639999,32.119999,32.490002,2197300,32.490002
2015-08-14,32.080002,32.720001,31.92,32.709999,1333500,32.709999
2015-08-13,31.879999,32.540001,31.73,32.07,3668700,31.984
2015-08-12,31.75,31.91,30.469999,31.59,2402000,31.505288
2015-08-11,32.130001,32.369999,31.889999,32.09,971600,32.003947
2015-08-10,32.419998,32.77,32.18,32.290001,1450200,32.203412
2015-08-07,32.09,32.41,31.870001,32.349998,1207500,32.263248
