Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,73.00,73.660004,72.349998,73.099998,12007300,73.099998
2015-09-03,75.949997,76.010002,73.779999,74.449997,11060400,74.449997
2015-09-02,75.900002,76.160004,74.949997,76.099998,5307700,76.099998
2015-09-01,74.50,75.940002,74.459999,74.900002,9046200,74.900002
2015-08-31,75.32,76.769997,74.900002,76.440002,6925000,76.440002
2015-08-28,75.190002,76.019997,74.629997,75.949997,6626000,75.949997
2015-08-27,75.040001,76.220001,74.230003,75.660004,8480100,75.660004
2015-08-26,73.82,74.080002,72.529999,73.870003,8268200,73.870003
2015-08-25,75.220001,75.489998,72.029999,72.059998,9259200,72.059998
2015-08-24,71.82,74.879997,70.230003,72.82,15156700,72.82
2015-08-21,75.940002,76.300003,74.959999,75.00,11770900,75.00
2015-08-20,77.279999,77.830002,76.410004,76.410004,7266600,76.410004
2015-08-19,78.25,78.540001,77.050003,77.410004,5854700,77.410004
2015-08-18,78.510002,79.00,78.18,78.82,5128100,78.82
2015-08-17,78.129997,78.639999,77.209999,78.540001,4693800,78.540001
2015-08-14,77.660004,78.730003,77.599998,78.489998,3801400,78.489998
2015-08-13,78.550003,78.580002,77.699997,77.760002,5226200,77.760002
2015-08-12,77.309998,79.120003,76.919998,78.919998,7236800,78.919998
2015-08-11,78.730003,78.93,77.230003,78.040001,8617900,78.040001
2015-08-10,78.040001,80.309998,77.900002,80.160004,7206000,80.160004
2015-08-07,77.519997,78.150002,76.940002,77.290001,6150200,77.290001
2015-08-06,76.980003,77.650002,76.18,77.459999,4578100,77.459999
2015-08-05,77.50,77.919998,76.720001,76.879997,4162000,76.879997
2015-08-04,77.330002,77.860001,76.32,76.599998,4097000,76.599998
2015-08-03,78.419998,78.43,76.75,77.260002,4832000,77.260002
2015-07-31,78.599998,79.040001,78.150002,78.629997,5193500,78.629997
2015-07-30,76.980003,78.370003,76.68,78.349998,6070100,78.349998
2015-07-29,77.300003,77.459999,76.510002,77.330002,11778800,77.330002
2015-07-28,75.919998,78.150002,75.790001,77.779999,13233100,77.779999
2015-07-27,75.18,75.720001,74.769997,75.32,10250000,75.32
2015-07-24,76.910004,77.089996,75.849998,76.099998,9175900,76.099998
2015-07-23,77.699997,79.040001,76.650002,76.879997,13909900,76.879997
2015-07-22,81.00,81.120003,79.150002,79.760002,10180700,79.760002
2015-07-21,81.800003,82.889999,81.25,82.220001,4691900,82.220001
2015-07-20,83.059998,83.290001,82.139999,82.25,4291400,82.25
2015-07-17,83.550003,83.650002,82.760002,83.160004,2931500,83.160004
2015-07-16,84.75,84.889999,83.410004,83.760002,3686000,83.760002
2015-07-15,84.550003,84.860001,83.75,84.160004,3661700,83.390002
2015-07-14,83.529999,84.68,83.519997,84.459999,3797700,83.687253
2015-07-13,82.870003,84.029999,82.68,83.639999,4228500,82.874756
2015-07-10,82.639999,82.910004,81.870003,82.150002,3495000,81.39839
2015-07-09,83.43,83.699997,81.459999,81.690002,4570700,80.9426
2015-07-08,83.050003,83.230003,81.760002,82.269997,4325100,81.517288
2015-07-07,82.989998,84.120003,81.849998,83.989998,5192000,83.221552
2015-07-06,83.650002,84.150002,82.730003,83.150002,4896600,82.389241
2015-07-02,84.529999,84.779999,83.849998,84.379997,2582200,83.607983
2015-07-01,85.389999,85.449997,83.540001,83.949997,5296200,83.181917
2015-06-30,86.089996,86.25,84.800003,84.82,4077900,84.04396
2015-06-29,86.220001,86.739998,85.099998,85.300003,4747300,84.519572
2015-06-26,86.50,86.949997,85.809998,86.82,4387300,86.025662
2015-06-25,88.220001,88.330002,86.660004,86.720001,3239100,85.926578
2015-06-24,88.790001,88.809998,88.07,88.169998,3413600,87.363309
2015-06-23,88.419998,88.620003,88.010002,88.449997,2539000,87.640746
2015-06-22,87.970001,88.32,87.709999,88.269997,3648600,87.462392
2015-06-19,87.269997,87.959999,87.150002,87.519997,3910900,86.719254
2015-06-18,86.830002,87.739998,86.830002,87.440002,3372600,86.639992
2015-06-17,86.889999,87.550003,86.32,87.25,3402800,86.451728
2015-06-16,86.790001,87.019997,86.239998,86.589996,2895000,85.797763
2015-06-15,87.139999,87.389999,86.349998,87.129997,2721000,86.332823
2015-06-12,87.949997,88.410004,87.57,87.849998,2212800,87.046237
2015-06-11,88.620003,88.760002,87.919998,88.169998,2872900,87.363309
2015-06-10,87.449997,88.709999,87.360001,88.480003,4717100,87.670477
2015-06-09,86.459999,87.620003,86.419998,86.730003,3984900,85.936489
2015-06-08,85.800003,86.480003,85.779999,86.150002,3355800,85.361793
2015-06-05,85.010002,86.50,84.910004,86.050003,3937600,85.26271
2015-06-04,85.50,86.400002,85.32,85.470001,3775200,84.688015
2015-06-03,86.599998,87.059998,85.809998,86.230003,2841800,85.441063
2015-06-02,85.209999,86.68,85.07,86.169998,2817800,85.381607
2015-06-01,86.059998,86.370003,84.699997,85.529999,3976900,84.747463
2015-05-29,85.739998,86.330002,85.110001,85.32,4685700,84.539385
2015-05-28,87.330002,87.449997,85.730003,86.010002,5899100,85.223075
2015-05-27,87.989998,88.82,87.650002,87.919998,4517100,87.115596
2015-05-26,88.129997,88.150002,87.290001,87.839996,3149600,87.036326
2015-05-22,89.18,89.50,88.629997,88.629997,3483800,87.819099
2015-05-21,88.230003,89.620003,87.940002,89.330002,8155500,88.512699
2015-05-20,87.629997,88.129997,87.129997,87.93,3841500,87.125506
2015-05-19,87.889999,87.910004,86.510002,87.239998,5676800,86.441817
2015-05-18,88.389999,88.50,87.650002,88.290001,3074400,87.482213
2015-05-15,88.50,88.559998,87.599998,88.43,3205000,87.620932
2015-05-14,88.779999,89.589996,88.650002,88.739998,3228400,87.928093
2015-05-13,88.589996,89.07,88.209999,88.440002,3178300,87.630842
