Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,66.900002,67.260002,66.709999,67.120003,2373300,67.120003
2015-10-15,66.160004,66.660004,65.959999,66.57,2406700,66.57
2015-10-14,65.970001,66.110001,65.50,65.75,2319100,65.75
2015-10-13,65.970001,66.290001,65.779999,65.970001,2168000,65.970001
2015-10-12,66.330002,66.580002,65.989998,66.25,2396400,66.25
2015-10-09,66.00,66.419998,65.779999,66.339996,3465400,66.339996
2015-10-08,65.18,65.940002,65.019997,65.900002,2570900,65.900002
2015-10-07,65.050003,65.480003,64.800003,65.349998,2278100,65.349998
2015-10-06,65.300003,65.300003,64.730003,64.790001,2924700,64.790001
2015-10-05,64.589996,65.510002,64.339996,65.349998,3667000,65.349998
2015-10-02,63.220001,64.279999,63.060001,64.279999,3494900,64.279999
2015-10-01,63.580002,63.950001,63.209999,63.720001,4253800,63.720001
2015-09-30,63.66,63.990002,63.09,63.459999,3456400,63.459999
2015-09-29,62.16,63.189999,62.099998,63.07,3875400,63.07
2015-09-28,62.970001,63.279999,62.16,62.16,4564400,62.16
2015-09-25,62.77,63.689999,62.639999,63.139999,4532100,63.139999
2015-09-24,61.799999,62.419998,61.459999,62.25,3742000,62.25
2015-09-23,62.040001,62.32,61.75,62.099998,4005600,62.099998
2015-09-22,62.50,62.73,61.740002,62.16,3886300,62.16
2015-09-21,63.16,63.43,62.93,63.099998,3983100,63.099998
2015-09-18,62.68,63.66,62.650002,62.689999,13248900,62.689999
2015-09-17,63.009998,64.089996,62.98,63.27,4552100,63.27
2015-09-16,62.599998,63.23,62.50,63.07,2885500,63.07
2015-09-15,62.07,62.639999,61.369999,62.43,3457300,62.43
2015-09-14,61.830002,62.139999,61.549999,62.110001,3699100,62.110001
2015-09-11,61.380001,62.110001,61.380001,61.919998,3463100,61.919998
2015-09-10,62.279999,62.48,61.310001,61.93,5218200,61.93
2015-09-09,64.040001,64.129997,62.259998,62.389999,3616900,62.389999
2015-09-08,62.48,63.66,62.150002,63.43,6528600,63.43
2015-09-04,61.860001,62.189999,61.389999,61.459999,5100300,61.459999
2015-09-03,62.240002,63.130001,62.240002,62.919998,4026400,62.919998
2015-09-02,62.00,62.220001,61.529999,62.18,3388000,62.18
2015-09-01,61.619999,62.27,60.91,61.27,4271000,61.27
2015-08-31,62.880001,63.049999,62.400002,62.810001,3606000,62.810001
2015-08-28,63.009998,63.380001,62.52,63.349998,3475200,63.349998
2015-08-27,62.580002,63.290001,61.939999,63.09,4993400,63.09
2015-08-26,61.529999,62.400002,60.540001,62.23,5305500,62.23
2015-08-25,63.240002,63.490002,60.32,60.369999,6460200,60.369999
2015-08-24,61.900002,62.50,50.84,61.950001,8979700,61.950001
2015-08-21,65.82,66.080002,64.860001,64.980003,5774200,64.980003
2015-08-20,66.199997,66.550003,65.959999,65.989998,3712200,65.989998
2015-08-19,67.339996,67.50,66.599998,66.739998,3127800,66.739998
2015-08-18,67.669998,68.019997,67.489998,67.690002,2230700,67.690002
2015-08-17,67.459999,67.800003,67.080002,67.660004,1840300,67.660004
2015-08-14,67.760002,67.940002,67.489998,67.790001,1821600,67.790001
2015-08-13,68.029999,68.18,67.57,67.660004,2159000,67.660004
2015-08-12,67.989998,68.129997,66.970001,68.00,3310600,68.00
2015-08-11,68.379997,68.559998,68.190002,68.260002,2571000,68.260002
2015-08-10,68.839996,69.080002,68.669998,68.739998,2998700,68.739998
2015-08-07,68.629997,68.699997,68.300003,68.489998,2279900,68.489998
2015-08-06,69.199997,69.300003,68.639999,68.650002,2989000,68.650002
2015-08-05,68.769997,69.230003,68.339996,69.080002,2557900,69.080002
2015-08-04,68.339996,68.709999,68.059998,68.449997,2756100,68.449997
2015-08-03,67.660004,68.470001,67.589996,68.419998,3060800,68.419998
2015-07-31,68.059998,68.290001,67.800003,68.019997,3511000,68.019997
2015-07-30,68.75,68.800003,67.309998,68.019997,5488800,68.019997
2015-07-29,68.25,69.230003,68.129997,68.93,4974900,68.93
2015-07-28,67.440002,68.470001,67.269997,68.389999,5581700,68.389999
2015-07-27,66.760002,67.309998,66.540001,67.300003,3576300,67.300003
2015-07-24,67.010002,67.150002,66.779999,67.00,2317000,67.00
2015-07-23,67.00,67.18,66.809998,67.040001,2667900,67.040001
2015-07-22,66.940002,67.18,66.730003,67.00,2825500,67.00
2015-07-21,67.57,67.639999,66.769997,66.940002,2699400,66.940002
2015-07-20,67.370003,67.959999,67.139999,67.800003,2214900,67.420001
2015-07-17,67.360001,67.620003,67.199997,67.50,1792000,67.12168
2015-07-16,67.330002,67.730003,67.18,67.620003,1912000,67.24101
2015-07-15,67.040001,67.580002,66.760002,66.910004,3360300,66.53499
2015-07-14,67.50,67.50,66.93,67.269997,2143600,66.892966
2015-07-13,66.949997,67.50,66.910004,67.440002,2087300,67.062018
2015-07-10,66.760002,66.910004,66.529999,66.639999,2221800,66.266499
2015-07-09,67.150002,67.18,66.150002,66.169998,3004700,65.799132
2015-07-08,66.93,67.160004,66.449997,66.449997,2104600,66.077562
2015-07-07,66.139999,67.379997,65.959999,67.309998,2893500,66.932742
2015-07-06,65.68,66.309998,65.629997,65.959999,1835600,65.59031
2015-07-02,66.379997,66.580002,65.980003,66.160004,2024700,65.789194
2015-07-01,65.589996,66.190002,65.550003,66.160004,2986600,65.789194
2015-06-30,65.849998,65.879997,65.309998,65.410004,2786600,65.043397
2015-06-29,66.00,66.339996,65.370003,65.400002,2270400,65.033451
2015-06-26,66.760002,67.00,66.440002,66.50,2588200,66.127285
2015-06-25,66.510002,66.800003,66.32,66.459999,2680600,66.087508
