Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,28.68,28.83,28.280001,28.780001,2999000,28.780001
2015-10-08,28.07,28.709999,27.530001,28.540001,3464700,28.540001
2015-10-07,28.35,28.639999,27.59,28.139999,5331100,28.139999
2015-10-06,28.719999,28.99,27.860001,27.879999,4857900,27.879999
2015-10-05,28.00,28.700001,27.790001,28.700001,5978900,28.700001
2015-10-02,26.18,27.870001,25.940001,27.690001,7107300,27.690001
2015-10-01,25.530001,26.49,25.09,26.32,9196300,26.32
2015-09-30,22.540001,25.09,22.52,24.90,12456000,24.90
2015-09-29,23.74,23.98,22.01,22.10,11191800,22.10
2015-09-28,25.299999,25.33,23.129999,23.48,10310700,23.48
2015-09-25,25.65,25.73,24.99,25.41,4028400,25.41
2015-09-24,25.860001,25.860001,24.49,25.459999,5960300,25.459999
2015-09-23,26.450001,26.73,25.540001,25.559999,3457200,25.559999
2015-09-22,27.219999,27.559999,26.25,26.57,3327200,26.57
2015-09-21,26.969999,27.459999,26.780001,27.379999,3103800,27.379999
2015-09-18,26.90,27.18,26.559999,26.82,7328100,26.82
2015-09-17,26.73,27.91,26.50,27.32,3986400,27.32
2015-09-16,26.139999,26.870001,26.08,26.780001,3329000,26.780001
2015-09-15,25.799999,26.27,25.67,26.059999,2852900,26.059999
2015-09-14,26.16,26.219999,25.75,25.93,2855000,25.93
2015-09-11,26.83,26.950001,26.190001,26.25,3847800,26.25
2015-09-10,27.02,27.35,26.84,27.030001,3809500,27.030001
2015-09-09,27.33,27.67,27.00,27.059999,2987700,27.059999
2015-09-08,27.43,27.59,27.18,27.41,2483800,27.41
2015-09-04,27.059999,27.620001,27.01,27.25,2035300,27.25
2015-09-03,27.969999,28.09,27.16,27.379999,2742900,27.379999
2015-09-02,27.799999,28.24,26.700001,27.700001,3923200,27.700001
2015-09-01,27.33,27.73,26.92,27.49,4017800,27.49
2015-08-31,28.51,29.01,27.719999,28.110001,4471800,28.110001
2015-08-28,28.40,29.200001,28.08,28.620001,3795500,28.620001
2015-08-27,27.76,28.76,27.620001,28.459999,3620000,28.459999
2015-08-26,26.50,27.34,26.280001,27.26,5143600,27.26
2015-08-25,27.23,27.34,26.200001,26.219999,3948200,26.219999
2015-08-24,25.299999,27.459999,24.620001,26.129999,7443500,26.129999
2015-08-21,28.00,28.120001,27.299999,27.33,4244400,27.33
2015-08-20,28.50,28.98,28.08,28.139999,2873000,28.139999
2015-08-19,29.24,29.58,28.41,28.67,3492500,28.67
2015-08-18,29.59,29.77,29.08,29.40,2784400,29.40
2015-08-17,28.34,29.92,28.309999,29.610001,7629400,29.610001
2015-08-14,28.50,28.889999,28.18,28.43,2670100,28.43
2015-08-13,28.559999,28.82,27.860001,28.370001,3535300,28.370001
2015-08-12,27.290001,28.66,27.15,28.50,3889700,28.50
2015-08-11,27.219999,27.59,27.049999,27.40,2799200,27.40
2015-08-10,26.629999,27.84,26.549999,27.65,6952000,27.65
