Date,Open,High,Low,Close,Volume,Adj Close
2015-12-24,14.00,14.22,13.22,13.43,14342500,13.43
2015-12-23,12.30,14.03,12.20,13.97,39522700,13.97
2015-12-22,11.99,12.86,11.64,11.86,40655100,11.86
2015-12-21,11.24,11.81,10.84,11.77,33011700,11.77
2015-12-18,12.20,12.21,10.85,11.09,34378700,11.09
2015-12-17,13.01,13.14,11.58,11.76,17154200,11.76
2015-12-16,12.90,13.28,12.68,13.02,14742100,13.02
2015-12-15,13.17,13.56,13.00,13.11,14577500,13.11
2015-12-14,13.32,13.35,12.32,12.88,20350500,12.88
2015-12-11,14.97,15.01,13.26,13.34,19603000,13.34
2015-12-10,14.74,15.53,14.62,15.38,20240500,15.38
2015-12-09,13.33,15.13,13.17,14.90,46408000,14.90
2015-12-08,12.47,14.33,11.95,13.20,30943800,13.20
2015-12-07,14.48,14.60,12.14,12.99,50051300,12.99
2015-12-04,16.58,16.709999,15.12,15.29,35856900,15.29
2015-12-03,18.24,18.52,16.65,16.85,23347800,16.85
2015-12-02,18.99,18.99,17.879999,18.190001,25204000,18.190001
2015-12-01,18.93,19.219999,18.66,19.139999,20260400,19.139999
2015-11-30,18.66,19.02,18.549999,18.940001,8611300,18.940001
2015-11-27,18.809999,18.879999,18.52,18.67,2238900,18.67
2015-11-25,19.23,19.60,18.66,18.959999,5530000,18.959999
2015-11-24,19.09,19.60,19.030001,19.32,9982700,19.32
2015-11-23,19.040001,19.57,18.809999,19.01,11138500,19.01
2015-11-20,19.59,20.00,18.93,19.09,10572100,19.09
2015-11-19,19.950001,20.370001,19.48,19.799999,9640500,19.799999
2015-11-18,19.780001,20.379999,19.58,20.00,9509400,20.00
2015-11-17,19.85,20.49,19.32,19.700001,12199400,19.700001
2015-11-16,18.389999,19.92,18.33,19.84,15929300,19.84
2015-11-13,17.90,18.620001,17.17,18.24,15277200,18.24
2015-11-12,18.60,18.620001,17.99,18.17,11065500,18.17
2015-11-11,19.33,19.379999,18.440001,18.85,17498300,18.85
2015-11-10,19.34,19.540001,18.91,19.27,7028000,19.27
2015-11-09,20.07,20.35,19.360001,19.42,5057400,19.42
2015-11-06,20.389999,20.93,19.66,20.110001,12561200,20.110001
2015-11-05,20.809999,21.040001,19.709999,20.48,20710800,20.48
