Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,32.959999,33.00,32.43,32.50,3238000,32.50
2015-10-15,32.639999,32.869999,32.459999,32.740002,4098300,32.740002
2015-10-14,32.389999,32.779999,32.240002,32.50,4121100,32.50
2015-10-13,32.509998,32.66,32.209999,32.330002,4355100,32.330002
2015-10-12,31.700001,32.57,31.67,32.400002,4873000,32.400002
2015-10-09,31.35,31.559999,31.24,31.559999,4715800,31.559999
2015-10-08,30.99,31.440001,30.92,31.34,3548300,31.34
2015-10-07,31.200001,31.360001,30.969999,31.030001,3225100,31.030001
2015-10-06,31.49,31.65,30.969999,31.15,2407900,31.15
2015-10-05,31.049999,31.83,31.049999,31.60,4347700,31.60
2015-10-02,30.709999,31.049999,30.440001,30.950001,2209400,30.950001
2015-10-01,31.360001,31.49,30.280001,30.59,2883000,30.59
2015-09-30,30.959999,31.34,30.860001,31.309999,3045900,31.309999
2015-09-29,30.940001,31.120001,30.639999,30.83,1821800,30.83
2015-09-28,31.02,31.280001,30.889999,30.91,2463800,30.91
2015-09-25,30.790001,31.290001,30.469999,31.040001,3092100,31.040001
2015-09-24,30.389999,30.77,30.309999,30.719999,3190800,30.719999
2015-09-23,30.950001,31.030001,30.450001,30.469999,3491800,30.469999
2015-09-22,31.549999,31.60,30.709999,30.90,3975700,30.90
2015-09-21,31.25,31.57,31.17,31.35,3487700,31.35
2015-09-18,31.389999,31.879999,31.059999,31.129999,5217400,31.129999
2015-09-17,31.58,32.169998,31.450001,31.719999,3259400,31.719999
2015-09-16,31.200001,31.959999,31.10,31.58,3499600,31.58
2015-09-15,30.93,31.34,30.65,31.190001,3401600,31.190001
2015-09-14,30.68,31.120001,30.65,30.879999,3757600,30.879999
2015-09-11,30.610001,30.76,30.459999,30.59,4114300,30.59
2015-09-10,30.74,31.10,30.51,30.57,3678200,30.57
2015-09-09,31.389999,31.43,30.719999,30.780001,3131500,30.780001
2015-09-08,31.02,31.219999,30.82,31.18,2988600,31.18
2015-09-04,30.90,31.030001,30.48,30.59,2929300,30.59
2015-09-03,30.93,31.309999,30.790001,31.25,5382700,31.25
2015-09-02,31.280001,31.440001,30.34,30.860001,6397400,30.860001
2015-09-01,31.700001,32.139999,30.76,30.98,3378100,30.98
2015-08-31,32.34,32.389999,31.530001,31.959999,3672700,31.959999
2015-08-28,32.400002,32.50,31.90,32.490002,3852200,32.490002
