Date,Open,High,Low,Close,Volume,Adj Close
2015-12-24,1.72,1.72,1.69,1.71,1147300,1.71
2015-12-23,1.68,1.73,1.67,1.71,3149300,1.71
2015-12-22,1.66,1.73,1.63,1.68,4559700,1.68
2015-12-21,1.74,1.74,1.65,1.65,23532200,1.65
2015-12-18,1.76,1.78,1.66,1.75,5702700,1.75
2015-12-17,1.63,1.81,1.61,1.79,5923700,1.79
2015-12-16,1.77,1.78,1.60,1.67,12722100,1.67
2015-12-15,1.80,1.91,1.76,1.77,6305700,1.77
2015-12-14,1.91,1.91,1.73,1.78,6640300,1.78
2015-12-11,1.97,1.97,1.89,1.90,3859700,1.90
2015-12-10,1.99,1.99,1.96,1.97,2268700,1.97
2015-12-09,2.02,2.03,1.97,1.98,3589200,1.98
2015-12-08,2.08,2.09,1.95,2.01,3075600,2.01
2015-12-07,2.07,2.10,1.96,2.10,4191300,2.10
2015-12-04,1.93,2.08,1.92,2.07,4436900,2.07
2015-12-03,1.96,1.96,1.75,1.91,12087900,1.91
2015-12-02,2.03,2.06,1.95,1.98,8467000,1.98
2015-12-01,2.08,2.09,2.04,2.05,2197400,2.05
2015-11-30,2.09,2.11,2.07,2.09,1436700,2.09
2015-11-27,2.09,2.10,2.08,2.09,911200,2.09
2015-11-25,2.13,2.14,2.07,2.09,2458400,2.09
2015-11-24,2.12,2.14,2.11,2.13,1126200,2.13
2015-11-23,2.15,2.15,2.12,2.13,1855700,2.13
2015-11-20,2.15,2.16,2.14,2.15,1409700,2.15
2015-11-19,2.16,2.17,2.14,2.16,1526500,2.16
2015-11-18,2.17,2.18,2.15,2.17,1479000,2.17
2015-11-17,2.21,2.22,2.16,2.18,1355000,2.18
2015-11-16,2.17,2.22,2.16,2.21,1099600,2.21
2015-11-13,2.21,2.23,2.16,2.19,3730200,2.19
2015-11-12,2.23,2.24,2.20,2.21,1119200,2.21
2015-11-11,2.22,2.26,2.22,2.23,797800,2.23
2015-11-10,2.24,2.24,2.21,2.23,1584200,2.23
2015-11-09,2.26,2.28,2.22,2.23,1851900,2.23
2015-11-06,2.26,2.28,2.23,2.25,1895900,2.25
2015-11-05,2.27,2.35,2.23,2.26,3344800,2.26
2015-11-04,2.28,2.29,2.26,2.27,1389600,2.27
2015-11-03,2.25,2.30,2.25,2.28,2157600,2.28
2015-11-02,2.25,2.26,2.22,2.24,1986800,2.24
2015-10-30,2.25,2.27,2.23,2.25,1335700,2.25
2015-10-29,2.26,2.27,2.24,2.25,2068700,2.25
2015-10-28,2.25,2.29,2.24,2.27,1768900,2.27
2015-10-27,2.26,2.28,2.25,2.26,874600,2.26
2015-10-26,2.29,2.29,2.25,2.27,2043800,2.27
2015-10-23,2.28,2.32,2.27,2.28,1959400,2.28
2015-10-22,2.29,2.30,2.26,2.28,1997800,2.28
2015-10-21,2.35,2.39,2.28,2.28,4976700,2.28
2015-10-20,2.36,2.37,2.30,2.35,2771800,2.35
2015-10-19,2.46,2.46,2.30,2.39,7419900,2.39
2015-10-16,2.58,2.59,2.47,2.50,3577300,2.50
2015-10-15,2.66,2.66,2.53,2.60,3807200,2.60
2015-10-14,2.61,2.70,2.58,2.65,7242600,2.65
2015-10-13,2.49,2.61,2.44,2.61,6150200,2.61
2015-10-12,2.46,2.50,2.38,2.48,5265700,2.48
2015-10-09,2.48,2.53,2.44,2.46,6107100,2.46
2015-10-08,2.43,2.53,2.40,2.44,9121600,2.44
2015-10-07,2.37,2.43,2.31,2.42,5189400,2.42
2015-10-06,2.25,2.42,2.23,2.40,13502300,2.40
2015-10-05,2.24,2.25,2.20,2.22,1982900,2.22
2015-10-02,2.25,2.26,2.21,2.24,1542200,2.24
2015-10-01,2.27,2.30,2.23,2.26,2093800,2.26
2015-09-30,2.23,2.28,2.22,2.25,1831400,2.25
2015-09-29,2.17,2.25,2.15,2.22,2772000,2.22
2015-09-28,2.31,2.32,2.12,2.14,7815000,2.14
2015-09-25,2.29,2.33,2.28,2.33,2223500,2.33
2015-09-24,2.27,2.29,2.23,2.27,1665900,2.27
2015-09-23,2.30,2.30,2.26,2.26,906800,2.26
2015-09-22,2.33,2.33,2.29,2.30,1541200,2.30
2015-09-21,2.31,2.37,2.30,2.34,1684700,2.34
2015-09-18,2.36,2.36,2.30,2.31,1513600,2.31
2015-09-17,2.28,2.36,2.27,2.34,2856600,2.34
2015-09-16,2.26,2.33,2.25,2.27,2376400,2.27
2015-09-15,2.21,2.27,2.20,2.24,1254800,2.24
2015-09-14,2.22,2.22,2.18,2.20,950500,2.20
2015-09-11,2.27,2.27,2.20,2.23,1124300,2.23
2015-09-10,2.29,2.30,2.23,2.24,1551200,2.24
2015-09-09,2.30,2.31,2.27,2.28,1422500,2.28
2015-09-08,2.31,2.34,2.26,2.29,1690500,2.29
