Date,Open,High,Low,Close,Volume,Adj Close
2015-12-24,16.940001,17.68,16.799999,17.200001,311800,17.200001
2015-12-23,16.059999,16.950001,16.01,16.74,491800,16.74
2015-12-22,15.27,15.88,15.03,15.68,664400,15.68
2015-12-21,15.69,15.97,14.80,15.26,687900,15.26
2015-12-18,15.69,16.299999,15.00,15.46,405000,15.46
2015-12-17,17.530001,17.74,15.65,15.73,379500,15.73
2015-12-16,17.040001,18.00,17.040001,17.76,302900,17.76
2015-12-15,18.58,18.90,16.540001,17.030001,582600,17.030001
2015-12-14,20.68,20.90,18.33,18.629999,268100,18.629999
2015-12-11,21.389999,21.82,20.75,20.889999,167900,20.889999
2015-12-10,22.370001,23.110001,21.780001,21.809999,190000,21.809999
2015-12-09,21.09,23.290001,21.07,22.43,315700,22.43
2015-12-08,19.549999,21.110001,19.02,20.940001,186100,20.940001
2015-12-07,20.90,20.90,18.65,20.139999,343900,20.139999
2015-12-04,22.940001,23.27,21.07,21.50,270000,21.50
2015-12-03,23.92,24.32,23.01,23.09,167300,23.09
2015-12-02,23.959999,24.08,23.26,23.92,357300,23.92
2015-12-01,24.66,24.959999,23.799999,24.23,90700,24.23
2015-11-30,25.209999,25.780001,24.549999,24.860001,85700,24.860001
2015-11-27,25.459999,25.85,24.969999,25.190001,23900,25.190001
2015-11-25,23.60,26.18,23.60,25.34,167100,25.34
2015-11-24,23.50,24.67,22.83,23.549999,133100,23.549999
2015-11-23,24.34,24.700001,23.50,23.51,160900,23.51
2015-11-20,25.75,26.290001,24.059999,24.870001,167400,24.870001
2015-11-19,24.809999,25.790001,24.309999,25.639999,116400,25.639999
2015-11-18,25.00,25.68,23.559999,25.10,244300,25.10
2015-11-17,26.01,26.01,24.540001,24.950001,153400,24.950001
2015-11-16,26.299999,26.969999,25.76,25.950001,154800,25.950001
2015-11-13,27.43,27.530001,26.17,26.34,120000,26.34
2015-11-12,28.00,28.799999,26.48,26.93,122200,26.93
2015-11-11,28.41,29.049999,27.209999,28.059999,88900,28.059999
2015-11-10,28.469999,29.309999,28.25,28.33,60700,28.33
2015-11-09,29.299999,29.559999,28.049999,28.40,52100,28.40
2015-11-06,29.43,29.959999,28.85,29.17,82500,29.17
2015-11-05,30.959999,31.60,29.42,29.709999,133800,29.709999
2015-11-04,32.59,32.77,31.00,31.280001,111000,31.280001
2015-11-03,31.66,32.689999,31.66,32.349998,73700,32.349998
2015-11-02,32.080002,32.990002,31.469999,31.75,124500,31.75
2015-10-30,33.700001,34.259998,32.619999,32.759998,113400,32.061999
2015-10-29,32.369999,34.139999,31.92,33.91,77900,33.187498
2015-10-28,32.389999,32.82,31.620001,32.02,50400,31.337768
2015-10-27,32.50,32.990002,32.02,32.110001,91400,31.42585
2015-10-26,33.700001,33.700001,32.509998,32.529999,33800,31.8369
