Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,29.25,29.450001,29.049999,29.24,906700,29.24
2015-10-08,28.51,29.42,28.440001,29.280001,1226900,29.280001
2015-10-07,28.50,29.190001,28.43,29.00,2004800,29.00
2015-10-06,28.09,28.49,28.00,28.309999,1179500,28.309999
2015-10-05,27.610001,28.25,27.49,28.129999,1261600,28.129999
2015-10-02,26.51,27.370001,26.459999,27.370001,676100,27.370001
2015-10-01,27.139999,27.389999,26.27,26.90,1180500,26.90
2015-09-30,26.860001,27.290001,26.74,27.24,1535300,27.24
2015-09-29,25.950001,26.459999,25.76,26.42,1356600,26.42
2015-09-28,26.700001,26.700001,25.799999,25.93,1249200,25.93
2015-09-25,26.98,27.139999,26.58,26.77,1112100,26.77
2015-09-24,26.459999,26.83,26.040001,26.76,1174200,26.76
2015-09-23,26.85,26.950001,26.48,26.610001,623500,26.610001
2015-09-22,27.01,27.139999,26.629999,26.780001,907400,26.780001
2015-09-21,27.40,27.940001,27.389999,27.48,1362300,27.48
2015-09-18,27.26,27.459999,27.129999,27.219999,1353400,27.219999
2015-09-17,27.67,28.059999,27.559999,27.59,987600,27.59
2015-09-16,27.690001,27.90,27.450001,27.639999,1994400,27.639999
2015-09-15,27.60,27.639999,27.360001,27.50,1876000,27.50
2015-09-14,27.700001,27.700001,27.379999,27.450001,737000,27.450001
2015-09-11,27.309999,27.879999,27.309999,27.700001,1454200,27.700001
2015-09-10,27.24,27.68,27.09,27.309999,1435300,27.309999
2015-09-09,27.82,27.889999,27.219999,27.27,1312800,27.27
2015-09-08,27.15,27.559999,26.969999,27.540001,1076400,27.540001
2015-09-04,26.60,26.92,26.49,26.629999,976300,26.629999
2015-09-03,26.629999,27.309999,26.49,26.98,1371200,26.98
2015-09-02,26.309999,26.620001,26.120001,26.379999,1569700,26.379999
2015-09-01,26.530001,26.74,25.950001,26.00,1455200,26.00
2015-08-31,26.469999,27.209999,26.26,27.059999,1448700,27.059999
2015-08-28,26.959999,26.959999,26.219999,26.629999,1589300,26.629999
2015-08-27,25.389999,26.41,25.370001,26.389999,1749400,26.29
2015-08-26,24.969999,25.27,24.48,25.120001,2406200,25.024813
2015-08-25,25.360001,25.469999,24.459999,24.469999,1439900,24.377275
2015-08-24,24.01,25.77,23.790001,24.67,1829200,24.576518
2015-08-21,25.360001,26.049999,25.27,25.48,1501500,25.383448
2015-08-20,25.99,26.18,25.66,25.66,927900,25.562766
2015-08-19,26.450001,26.49,26.040001,26.219999,799700,26.120644
2015-08-18,26.85,26.85,26.379999,26.42,651100,26.319887
2015-08-17,26.639999,27.030001,26.42,26.870001,929100,26.768182
2015-08-14,26.450001,26.77,26.33,26.76,538900,26.658598
2015-08-13,26.790001,26.83,26.440001,26.459999,611900,26.359734
2015-08-12,26.48,26.93,26.120001,26.82,782600,26.718371
2015-08-11,27.040001,27.24,26.700001,26.799999,1047200,26.698446
2015-08-10,26.700001,27.299999,26.690001,27.299999,825700,27.196551
2015-08-07,26.440001,26.76,26.389999,26.530001,824100,26.42947
2015-08-06,26.719999,27.27,26.48,26.52,1414900,26.419508
2015-08-05,26.33,26.809999,26.209999,26.74,1793900,26.638674
2015-08-04,26.469999,26.66,25.959999,26.07,1447000,25.971212
2015-08-03,27.129999,27.129999,26.33,26.450001,1970500,26.349774
2015-07-31,24.879999,27.690001,24.879999,27.23,3665000,27.126817
2015-07-30,24.74,24.790001,24.459999,24.50,1421400,24.407162
2015-07-29,24.48,24.860001,24.34,24.790001,820400,24.696064
2015-07-28,24.209999,24.610001,24.059999,24.51,1068100,24.417124
2015-07-27,23.82,24.17,23.700001,24.07,1068100,23.978791
2015-07-24,24.43,24.540001,24.059999,24.08,889300,23.988753
2015-07-23,24.52,24.93,24.440001,24.459999,1164300,24.367313
2015-07-22,23.92,24.459999,23.780001,24.42,1176000,24.327465
2015-07-21,24.450001,24.620001,24.15,24.190001,1112100,24.098337
2015-07-20,24.620001,24.700001,24.450001,24.49,763900,24.3972
2015-07-17,25.139999,25.139999,24.51,24.639999,524300,24.546631
2015-07-16,25.09,25.18,25.00,25.120001,831300,25.024813
2015-07-15,24.98,25.059999,24.73,24.90,907000,24.805646
2015-07-14,24.65,25.030001,24.610001,24.959999,743100,24.865418
2015-07-13,24.620001,24.75,24.43,24.68,1123900,24.58648
2015-07-10,24.719999,25.030001,24.379999,24.48,893000,24.387237
2015-07-09,24.77,24.889999,24.280001,24.32,1220900,24.227844
2015-07-08,24.83,25.040001,24.40,24.42,1286700,24.327465
2015-07-07,24.860001,25.15,24.440001,25.08,1253300,24.984964
2015-07-06,24.98,25.23,24.620001,24.82,1184100,24.725949
2015-07-02,25.17,25.629999,25.08,25.26,1115800,25.164282
2015-07-01,25.209999,25.40,24.90,25.059999,1263100,24.965039
2015-06-30,25.629999,25.67,24.99,25.030001,1514600,24.935154
2015-06-29,25.700001,25.99,25.34,25.35,963500,25.253941
2015-06-26,26.389999,26.530001,25.969999,26.01,1631600,25.91144
2015-06-25,26.73,26.870001,26.40,26.469999,667700,26.369696
2015-06-24,27.18,27.24,26.780001,26.790001,721400,26.688485
2015-06-23,27.129999,27.280001,26.969999,27.26,466900,27.156704
2015-06-22,27.01,27.15,26.889999,27.07,555100,26.967423
2015-06-19,27.02,27.030001,26.67,26.790001,819500,26.688485
2015-06-18,26.940001,27.18,26.76,27.01,666400,26.907651
2015-06-17,27.00,27.190001,26.85,26.889999,661300,26.788105
2015-06-16,26.65,27.110001,26.469999,27.00,852600,26.897689
2015-06-15,26.639999,26.84,26.290001,26.620001,599100,26.51913
2015-06-12,26.780001,26.99,26.700001,26.92,863700,26.817992
2015-06-11,27.01,27.379999,26.99,27.00,1014100,26.897689
2015-06-10,26.82,27.129999,26.75,26.98,576000,26.877764
2015-06-09,26.549999,26.879999,26.299999,26.73,828100,26.628711
2015-06-08,27.00,27.02,26.469999,26.57,812800,26.469318
2015-06-05,26.59,27.01,26.42,26.99,908400,26.887726
2015-06-04,26.84,26.98,26.709999,26.73,794600,26.628711
2015-06-03,26.84,27.290001,26.75,27.00,646400,26.897689
2015-06-02,26.889999,27.01,26.68,26.73,631500,26.628711
2015-06-01,26.90,27.040001,26.66,27.01,977900,26.907651
2015-05-29,26.780001,27.00,26.57,26.809999,956200,26.708408
2015-05-28,26.68,26.940001,26.639999,26.799999,599300,26.698446
2015-05-27,26.41,26.85,26.34,26.77,840100,26.668561
2015-05-26,26.49,26.58,26.209999,26.40,943200,26.299962
2015-05-22,26.450001,26.66,26.43,26.57,320800,26.469318
2015-05-21,26.549999,26.719999,26.450001,26.48,533400,26.379659
2015-05-20,26.530001,26.700001,26.389999,26.58,787800,26.47928
2015-05-19,26.780001,26.790001,26.50,26.50,433300,26.399583
2015-05-18,26.610001,26.92,26.559999,26.709999,790100,26.608787
2015-05-15,26.700001,26.92,26.48,26.610001,950000,26.509167
2015-05-14,26.68,26.76,26.49,26.74,1082700,26.638674
2015-05-13,26.209999,26.559999,26.16,26.530001,851300,26.42947
2015-05-12,26.309999,26.35,26.00,26.110001,1202600,26.011062
2015-05-11,26.629999,26.75,26.440001,26.459999,870000,26.359734
2015-05-08,26.719999,26.799999,26.52,26.709999,815200,26.608787
2015-05-07,25.950001,26.41,25.860001,26.370001,843500,26.270077
2015-05-06,26.07,26.110001,25.73,26.00,1026800,25.901478
2015-05-05,25.40,26.700001,25.40,26.01,1962100,25.91144
2015-05-04,25.75,25.959999,25.68,25.780001,1614500,25.682312
2015-05-01,25.32,25.74,25.190001,25.65,1148400,25.552804
2015-04-30,25.690001,25.719999,24.98,25.16,1974600,25.064661
2015-04-29,25.459999,25.809999,25.459999,25.790001,1153000,25.692275
2015-04-28,25.469999,25.629999,25.34,25.58,936800,25.483069
2015-04-27,25.719999,25.75,25.290001,25.50,746600,25.403373
2015-04-24,25.700001,25.82,25.42,25.65,1502700,25.552804
2015-04-23,25.530001,25.83,25.42,25.57,1488100,25.473107
2015-04-22,25.68,25.77,25.309999,25.57,1474200,25.473107
2015-04-21,25.530001,25.77,25.290001,25.67,1344400,25.572729
2015-04-20,25.25,25.610001,25.23,25.41,732300,25.313714
2015-04-17,25.299999,25.309999,24.889999,25.120001,1007400,25.024813
2015-04-16,25.90,25.90,25.370001,25.43,725400,25.333638
2015-04-15,25.43,26.030001,25.370001,25.950001,1592100,25.851668
2015-04-14,25.27,25.40,25.10,25.40,1160400,25.303751
2015-04-13,25.360001,25.440001,25.200001,25.280001,943800,25.184207
2015-04-10,25.24,25.469999,25.219999,25.40,671500,25.303751
2015-04-09,25.16,25.27,25.030001,25.23,1549300,25.134395
2015-04-08,24.950001,25.309999,24.84,25.209999,1021800,25.114471
2015-04-07,24.99,25.17,24.85,24.889999,600000,24.795684
2015-04-06,24.48,25.10,24.34,25.040001,1408000,24.945117
2015-04-02,24.76,25.08,24.629999,24.67,1285900,24.576518
2015-04-01,25.01,25.040001,24.32,24.719999,2008600,24.626328
2015-03-31,24.950001,25.370001,24.790001,25.120001,2228100,25.024813
2015-03-30,24.790001,25.129999,24.74,25.129999,1312800,25.034774
2015-03-27,24.200001,24.59,24.09,24.559999,1480300,24.466934
2015-03-26,24.549999,24.59,23.93,24.25,2492500,24.158109
2015-03-25,24.92,25.00,24.549999,24.639999,2651000,24.546631
2015-03-24,24.690001,24.92,24.59,24.90,1862800,24.805646
2015-03-23,24.15,24.940001,24.110001,24.719999,2350700,24.626328
2015-03-20,23.309999,24.110001,23.26,24.110001,4090600,24.01864
2015-03-19,23.65,23.780001,23.139999,23.200001,2006500,23.112089
2015-03-18,23.65,23.879999,23.41,23.74,1102500,23.650042
2015-03-17,23.67,23.809999,23.52,23.639999,1519200,23.55042
2015-03-16,23.370001,23.809999,23.200001,23.790001,1525500,23.699853
2015-03-13,22.940001,23.34,22.60,23.280001,1538800,23.191786
2015-03-12,22.940001,23.049999,22.540001,23.040001,2657200,22.952695
2015-03-11,23.639999,23.799999,23.34,23.48,909000,23.391027
2015-03-10,24.10,24.16,23.66,23.700001,1059300,23.610194
2015-03-09,24.450001,24.59,24.25,24.290001,878600,24.197959
2015-03-06,24.809999,25.01,24.299999,24.48,1115100,24.387237
2015-03-05,24.940001,24.959999,24.74,24.889999,1029900,24.795684
2015-03-04,24.98,24.99,24.49,24.879999,1210600,24.785721
2015-03-03,25.219999,25.42,24.889999,25.09,1540000,24.994926
