Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,32.950001,33.259998,32.41,32.720001,11680300,32.720001
2015-10-08,33.080002,33.209999,32.50,32.990002,11377100,32.990002
2015-10-07,33.139999,33.330002,32.619999,32.93,13458400,32.93
2015-10-06,32.07,32.43,31.940001,32.360001,8849100,32.360001
2015-10-05,31.74,32.48,31.709999,32.290001,11534200,32.290001
2015-10-02,30.40,31.469999,30.15,31.43,22773900,31.43
2015-10-01,31.42,31.809999,31.02,31.50,13308900,31.50
2015-09-30,31.540001,31.790001,31.280001,31.50,14887100,31.50
2015-09-29,31.09,31.27,30.469999,31.01,13571700,31.01
2015-09-28,31.879999,31.92,30.809999,31.09,15142600,31.09
2015-09-25,32.549999,32.790001,32.060001,32.189999,13786000,32.189999
2015-09-24,31.950001,32.060001,31.379999,31.969999,16523200,31.969999
2015-09-23,32.389999,32.779999,32.110001,32.32,12217700,32.32
2015-09-22,32.77,32.869999,32.099998,32.439999,12975100,32.439999
2015-09-21,33.349998,33.599998,33.029999,33.34,8928900,33.34
2015-09-18,33.560001,33.599998,32.84,33.029999,19363900,33.029999
2015-09-17,34.59,34.900002,33.889999,34.049999,13349400,34.049999
2015-09-16,34.610001,34.779999,34.299999,34.619999,10527600,34.619999
2015-09-15,33.939999,34.759998,33.790001,34.580002,8625000,34.580002
2015-09-14,33.919998,34.110001,33.630001,33.810001,9018400,33.810001
2015-09-11,33.77,34.009998,33.48,33.990002,7761400,33.990002
2015-09-10,33.630001,34.139999,33.470001,33.869999,9673500,33.869999
2015-09-09,34.849998,35.049999,33.650002,33.75,10577200,33.75
2015-09-08,33.900002,34.419998,33.84,34.27,13344200,34.27
2015-09-04,33.32,33.540001,32.849998,33.189999,12758700,33.189999
2015-09-03,33.849998,34.490002,33.639999,33.799999,11572600,33.799999
2015-09-02,33.75,33.810001,33.16,33.790001,12070300,33.790001
2015-09-01,33.419998,33.77,32.810001,33.119999,14519600,33.119999
2015-08-31,34.09,34.970001,33.869999,34.450001,13260000,34.450001
2015-08-28,34.110001,34.189999,33.720001,34.049999,13165200,34.049999
2015-08-27,34.00,34.349998,33.549999,34.299999,20762900,34.299999
2015-08-26,32.75,33.50,32.130001,33.299999,25064900,33.299999
2015-08-25,33.799999,33.799999,31.73,31.76,19602500,31.76
2015-08-24,31.620001,33.610001,30.40,32.259998,23662300,32.259998
2015-08-21,35.57,35.889999,34.16,34.209999,30018100,34.209999
2015-08-20,36.939999,37.00,36.169998,36.169998,14086400,36.169998
2015-08-19,37.610001,37.779999,37.240002,37.439999,8544100,37.439999
2015-08-18,38.07,38.209999,37.790001,37.82,8792100,37.82
2015-08-17,37.73,38.18,37.549999,38.139999,4857500,38.139999
2015-08-14,37.689999,38.060001,37.610001,38.049999,5029500,38.049999
2015-08-13,37.709999,37.950001,37.470001,37.75,6471800,37.75
2015-08-12,37.57,37.639999,36.57,37.57,13981400,37.57
2015-08-11,38.48,38.540001,37.73,37.919998,11046100,37.919998
2015-08-10,38.799999,39.16,38.799999,39.080002,5578400,39.080002
2015-08-07,38.950001,39.18,38.259998,38.580002,8307200,38.580002
2015-08-06,39.040001,39.18,38.66,38.93,7573500,38.93
2015-08-05,39.290001,39.349998,38.799999,39.00,4981000,39.00
2015-08-04,38.849998,39.18,38.740002,38.919998,6365800,38.919998
2015-08-03,38.959999,38.970001,38.419998,38.759998,7078100,38.759998
2015-07-31,39.279999,39.349998,38.790001,38.84,7347600,38.84
2015-07-30,39.150002,39.400002,38.849998,39.299999,5512100,39.299999
