Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,15.40,15.48,14.78,15.02,4651900,15.02
2015-10-15,15.25,15.43,15.02,15.38,3237000,15.38
2015-10-14,15.10,15.48,14.97,15.20,4837300,15.20
2015-10-13,14.93,15.38,14.55,15.03,7282700,15.03
2015-10-12,15.51,15.58,14.79,14.91,4722200,14.91
2015-10-09,15.48,15.60,15.14,15.46,5321200,15.46
2015-10-08,15.35,15.61,15.02,15.45,13124400,15.45
2015-10-07,15.88,16.110001,15.35,15.40,7447900,15.40
2015-10-06,15.83,15.93,15.42,15.78,5078200,15.78
2015-10-05,15.00,15.91,15.00,15.79,12914700,15.79
2015-10-02,14.55,14.98,14.55,14.87,14109100,14.87
2015-10-01,14.87,15.04,14.67,14.74,11129000,14.74
2015-09-30,14.59,14.95,14.59,14.85,10692900,14.85
2015-09-29,14.94,14.96,14.43,14.47,9956500,14.47
2015-09-28,15.07,15.17,14.81,14.89,9485900,14.89
2015-09-25,15.65,15.73,14.99,15.07,10801400,15.07
2015-09-24,15.24,15.66,14.98,15.48,10084800,15.48
2015-09-23,15.12,15.99,15.10,15.43,11341500,15.43
2015-09-22,16.450001,16.450001,14.94,15.36,19674400,15.36
2015-09-21,18.25,18.370001,16.33,16.40,14041000,16.40
2015-09-18,19.139999,19.26,17.75,17.98,15452600,17.98
2015-09-17,18.98,19.530001,18.68,19.17,7407500,19.17
2015-09-16,19.040001,19.139999,18.83,18.969999,6446200,18.969999
2015-09-15,18.65,19.24,18.610001,19.049999,6021800,19.049999
2015-09-14,18.469999,18.51,18.200001,18.42,4795100,18.42
2015-09-11,18.23,18.450001,18.139999,18.450001,3449300,18.450001
2015-09-10,17.950001,18.379999,17.690001,18.35,6886700,18.35
2015-09-09,18.549999,18.76,17.969999,18.00,4300600,18.00
2015-09-08,18.290001,18.43,18.139999,18.41,5220500,18.41
2015-09-04,18.66,18.68,17.92,17.93,5761900,17.93
2015-09-03,18.700001,19.48,18.549999,18.90,5494000,18.90
2015-09-02,19.67,19.709999,18.57,18.68,5701000,18.68
2015-09-01,19.629999,19.799999,19.059999,19.24,4611700,19.24
2015-08-31,20.030001,20.309999,19.49,19.92,5361900,19.92
2015-08-28,19.83,20.450001,19.809999,20.219999,3363700,20.219999
2015-08-27,19.17,20.200001,19.129999,19.82,6706700,19.82
2015-08-26,19.360001,19.360001,18.549999,19.07,5540600,19.07
2015-08-25,19.85,20.389999,18.879999,18.90,6913600,18.90
2015-08-24,19.030001,20.360001,18.98,19.219999,10923400,19.219999
2015-08-21,20.08,20.209999,19.49,19.58,5571900,19.58
2015-08-20,20.83,21.030001,20.290001,20.299999,4372500,20.299999
2015-08-19,20.83,21.24,20.719999,20.959999,5522500,20.959999
2015-08-18,21.129999,21.219999,20.77,20.99,2813100,20.99
2015-08-17,20.73,21.280001,20.719999,21.24,4645800,21.24
2015-08-14,20.23,20.83,20.23,20.790001,3873000,20.790001
2015-08-13,20.530001,20.719999,20.190001,20.33,3766800,20.33
2015-08-12,19.200001,20.540001,18.950001,20.530001,7055600,20.530001
2015-08-11,19.77,19.91,19.09,19.23,5112000,19.23
2015-08-10,19.41,20.129999,19.360001,19.85,5556900,19.85
2015-08-07,19.42,20.200001,19.40,19.60,5778000,19.60
2015-08-06,19.99,19.99,19.190001,19.43,8551700,19.43
2015-08-05,20.059999,20.959999,19.950001,20.030001,7234600,20.030001
2015-08-04,21.68,21.90,19.91,20.040001,15806400,20.040001
2015-08-03,22.389999,22.60,21.959999,22.27,5873900,22.27
2015-07-31,22.51,23.07,22.389999,22.450001,3948900,22.450001
2015-07-30,21.780001,22.58,21.690001,22.360001,3143500,22.360001
2015-07-29,22.07,22.16,21.780001,22.00,3431400,21.855
2015-07-28,21.57,22.190001,21.48,22.16,4874600,22.013945
2015-07-27,21.40,21.860001,21.280001,21.549999,5097300,21.407965
2015-07-24,21.57,21.639999,21.370001,21.40,5251100,21.258954
2015-07-23,21.940001,22.030001,21.48,21.65,4074000,21.507307
2015-07-22,21.02,22.030001,20.950001,21.98,5515900,21.835132
2015-07-21,21.549999,21.57,20.959999,21.059999,3878200,20.921195
2015-07-20,22.290001,22.299999,21.379999,21.57,6682600,21.427834
2015-07-17,22.23,22.41,22.02,22.24,2888100,22.093418
2015-07-16,21.93,22.459999,21.77,22.25,2902900,22.103352
2015-07-15,22.120001,22.190001,21.76,21.889999,2500100,21.745725
2015-07-14,22.83,22.83,22.00,22.08,2920600,21.934473
2015-07-13,21.879999,22.24,21.639999,22.23,3034800,22.083484
2015-07-10,22.10,22.10,21.65,21.76,4933400,21.616582
2015-07-09,22.309999,22.360001,21.709999,21.889999,4033700,21.745725
2015-07-08,22.93,23.059999,22.049999,22.10,3674000,21.954341
2015-07-07,22.75,23.219999,22.629999,23.10,4839400,22.947751
2015-07-06,22.780001,22.82,22.459999,22.76,4338200,22.609991
2015-07-02,22.66,22.780001,22.23,22.60,4344800,22.451046
2015-07-01,22.99,23.00,22.32,22.450001,5229000,22.302035
2015-06-30,23.51,23.58,22.83,22.879999,6531000,22.729199
2015-06-29,24.08,24.17,23.42,23.440001,4313700,23.28551
2015-06-26,24.33,24.35,24.059999,24.200001,4166900,24.040501
2015-06-25,24.940001,24.959999,24.309999,24.360001,3624700,24.199446
2015-06-24,24.90,25.049999,24.85,24.889999,4418300,24.725952
2015-06-23,25.23,25.280001,24.940001,24.99,3579600,24.825293
2015-06-22,25.01,25.389999,24.98,25.09,3007000,24.924634
2015-06-19,25.129999,25.18,24.809999,24.92,4770800,24.755755
2015-06-18,24.440001,25.07,24.41,24.969999,4863000,24.805424
2015-06-17,24.209999,24.469999,24.01,24.41,3435500,24.249116
2015-06-16,23.93,24.23,23.74,24.209999,2483100,24.050433
2015-06-15,24.10,24.200001,23.870001,23.940001,2533700,23.782214
2015-06-12,24.450001,24.57,24.00,24.18,2781000,24.020632
2015-06-11,24.799999,24.799999,24.15,24.530001,3134300,24.368326
2015-06-10,24.559999,25.23,24.469999,24.620001,6116400,24.457733
2015-06-09,24.059999,24.190001,23.85,23.860001,4445600,23.702742
2015-06-08,24.35,24.389999,23.91,24.030001,3029500,23.871621
