Date,Open,High,Low,Close,Volume,Adj Close
2015-12-24,9.69,10.05,9.67,9.89,3813700,9.89
2015-12-23,9.01,9.79,8.77,9.67,8764600,9.67
2015-12-22,7.56,8.94,7.50,8.82,11572900,8.82
2015-12-21,7.42,7.60,7.18,7.58,6357000,7.58
2015-12-18,7.81,7.87,7.40,7.50,8448400,7.50
2015-12-17,8.11,8.24,7.61,7.73,12110400,7.73
2015-12-16,8.46,8.76,7.97,8.25,8159700,8.25
2015-12-15,8.75,8.97,8.52,8.53,4851700,8.53
2015-12-14,9.03,9.24,8.44,8.60,3193000,8.60
2015-12-11,9.58,9.68,9.02,9.15,2903600,9.15
2015-12-10,9.96,10.17,9.68,9.76,7499500,9.76
2015-12-09,8.90,10.91,8.89,10.18,5988200,10.18
2015-12-08,8.46,9.13,8.18,8.98,7609300,8.98
2015-12-07,9.43,9.47,8.23,8.59,5825800,8.59
2015-12-04,10.24,10.43,9.52,9.79,5398800,9.79
2015-12-03,10.83,10.98,10.27,10.39,4566800,10.39
2015-12-02,11.42,11.47,10.56,10.70,4489900,10.70
2015-12-01,12.80,12.80,11.40,11.52,5351600,11.52
2015-11-30,11.74,14.66,11.50,12.26,13337000,12.26
2015-11-27,11.78,11.96,11.45,11.72,1543300,11.72
2015-11-25,11.48,11.97,11.28,11.90,3308300,11.90
2015-11-24,10.93,11.63,10.82,11.60,4716100,11.60
2015-11-23,10.85,11.05,10.52,10.89,5450400,10.89
2015-11-20,11.00,11.06,10.41,10.67,4462700,10.67
2015-11-19,11.25,11.48,10.89,10.91,3606500,10.91
2015-11-18,11.95,12.29,10.88,11.37,6250200,11.37
2015-11-17,12.41,12.59,11.95,12.04,2258000,12.04
2015-11-16,11.67,12.49,11.65,12.42,2854900,12.42
2015-11-13,11.58,11.86,10.99,11.78,5882900,11.78
2015-11-12,11.95,12.03,11.50,11.54,2244800,11.54
2015-11-11,12.52,12.68,11.97,12.14,3416500,12.14
2015-11-10,12.84,12.84,12.33,12.59,3864000,12.59
2015-11-09,12.83,13.00,12.48,12.94,3679900,12.94
2015-11-06,12.31,12.85,12.06,12.82,2900200,12.82
2015-11-05,12.61,12.65,11.89,12.40,12749700,12.40
2015-11-04,14.88,14.97,11.77,12.45,28986100,12.45
2015-11-03,15.93,16.139999,15.21,15.39,4347400,15.39
2015-11-02,15.50,16.26,15.50,15.90,2259000,15.90
2015-10-30,16.09,16.209999,15.54,15.55,2443100,15.55
2015-10-29,15.79,16.34,15.76,15.98,1222100,15.98
2015-10-28,15.81,16.059999,15.63,15.90,1496500,15.90
2015-10-27,16.290001,16.299999,15.51,15.93,2913300,15.699001
2015-10-26,16.799999,17.17,16.18,16.379999,2957800,16.142474
2015-10-23,17.360001,17.459999,16.879999,17.299999,1842800,17.049133
2015-10-22,17.959999,17.98,17.200001,17.360001,1471600,17.108265
2015-10-21,18.67,18.74,17.92,18.00,880600,17.738984
2015-10-20,18.370001,18.889999,18.26,18.709999,537400,18.438687
2015-10-19,18.610001,18.719999,18.059999,18.440001,1056800,18.172604
2015-10-16,18.950001,19.110001,18.51,18.879999,1182400,18.606222
2015-10-15,18.620001,18.950001,18.24,18.870001,744500,18.596369
2015-10-14,18.33,18.75,18.190001,18.639999,672100,18.369702
2015-10-13,18.59,18.66,18.049999,18.219999,1555500,17.955793
2015-10-12,19.01,19.110001,18.25,18.709999,1007600,18.438687
2015-10-09,19.190001,19.379999,18.85,19.01,1027900,18.734338
2015-10-08,19.290001,19.43,18.690001,19.120001,1122500,18.842743
2015-10-07,18.940001,19.49,18.76,19.309999,1289200,19.029987
2015-10-06,18.83,19.07,18.620001,18.67,1609800,18.399268
2015-10-05,17.98,18.84,17.98,18.790001,1662800,18.517529
2015-10-02,17.299999,17.790001,17.110001,17.790001,2638100,17.53203
2015-10-01,17.66,17.74,17.16,17.33,3545500,17.078699
2015-09-30,16.690001,17.50,16.58,17.50,3649100,17.246234
2015-09-29,17.040001,17.24,16.280001,16.48,4465000,16.241024
2015-09-28,17.77,17.809999,16.40,17.00,3729700,16.753484
2015-09-25,18.07,18.200001,17.52,17.92,1812500,17.660144
2015-09-24,17.940001,18.09,16.90,17.959999,2955600,17.699563
2015-09-23,18.59,18.77,17.59,18.059999,1943400,17.798113
2015-09-22,18.719999,18.950001,18.32,18.549999,1041100,18.281007
2015-09-21,18.690001,19.17,18.43,18.99,1359600,18.714627
2015-09-18,18.18,18.57,18.00,18.549999,1154300,18.281007
2015-09-17,18.33,18.809999,18.17,18.459999,1543400,18.192312
2015-09-16,18.35,18.75,18.07,18.52,1790900,18.251443
2015-09-15,17.75,18.43,17.709999,18.059999,1755500,17.798113
2015-09-14,18.09,18.15,17.68,17.700001,2037300,17.443335
2015-09-11,18.559999,18.57,18.040001,18.200001,2122600,17.936084
2015-09-10,18.969999,19.08,18.52,18.74,1365400,18.468253
2015-09-09,19.719999,20.02,18.940001,18.969999,1168200,18.694917
2015-09-08,19.52,19.549999,19.00,19.32,1506500,19.039842
