Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,15.64,15.84,15.04,15.06,9981100,15.06
2015-09-03,16.49,16.639999,15.72,15.93,9127000,15.93
2015-09-02,16.530001,16.530001,15.76,16.33,8405500,16.33
2015-09-01,15.83,16.40,15.75,15.89,8595500,15.89
2015-08-31,16.52,16.84,16.139999,16.379999,10044000,16.379999
2015-08-28,16.690001,17.719999,16.360001,16.780001,12785100,16.780001
2015-08-27,15.04,16.950001,14.87,16.889999,18452500,16.889999
2015-08-26,14.59,14.81,14.19,14.60,12223900,14.60
2015-08-25,16.049999,16.059999,14.25,14.33,17439800,14.33
2015-08-24,14.80,16.18,14.54,15.24,13123500,15.24
2015-08-21,16.299999,16.540001,15.85,15.91,13652800,15.91
2015-08-20,17.059999,17.15,16.60,16.91,10415800,16.91
2015-08-19,18.200001,18.299999,17.01,17.030001,12791400,17.030001
2015-08-18,18.639999,18.85,18.42,18.459999,6791000,18.459999
2015-08-17,19.139999,19.450001,18.91,19.00,5381600,19.00
2015-08-14,19.07,19.48,18.91,19.27,4768100,19.27
2015-08-13,18.780001,19.41,18.610001,19.110001,7661300,19.110001
2015-08-12,19.17,19.290001,18.41,19.139999,14294500,19.139999
2015-08-11,20.25,20.629999,19.25,19.48,14282800,19.48
2015-08-10,20.639999,21.49,19.99,21.389999,9861800,21.389999
2015-08-07,20.60,21.15,20.18,20.530001,9686800,20.480001
2015-08-06,19.639999,20.73,19.469999,20.65,10004500,20.599708
2015-08-05,20.17,20.75,19.709999,19.870001,11732200,19.821609
2015-08-04,20.040001,20.33,19.42,19.60,11278900,19.552266
2015-08-03,19.27,19.85,19.02,19.790001,11685100,19.741803
2015-07-31,20.219999,20.459999,19.27,19.469999,14955300,19.422581
2015-07-30,20.26,20.67,19.309999,20.09,23033300,20.041072
2015-07-29,18.290001,20.18,18.27,20.040001,29629100,19.991195
2015-07-28,17.15,17.75,16.83,17.73,14931600,17.686819
2015-07-27,16.25,16.969999,15.68,16.799999,13607700,16.759084
2015-07-24,16.90,16.959999,16.18,16.25,12220800,16.210424
2015-07-23,17.25,17.77,16.90,16.969999,10516300,16.92867
2015-07-22,17.459999,17.459999,16.809999,17.190001,8892600,17.148135
2015-07-21,17.700001,18.389999,17.559999,17.700001,8361100,17.656893
2015-07-20,17.76,17.82,17.18,17.719999,8471700,17.676843
2015-07-17,18.00,18.440001,17.549999,17.799999,11391100,17.756648
2015-07-16,18.65,18.83,17.690001,18.01,13165100,17.966138
2015-07-15,19.870001,19.889999,18.379999,18.52,12366600,18.474896
2015-07-14,19.76,19.99,19.26,19.92,5456000,19.871486
2015-07-13,19.129999,19.99,18.84,19.889999,9203000,19.841558
