AA,Alcoa Inc.,NYSE,"{""Company_Info"":{""CEO"":""Klaus Kleinfeld"",""Industry"":""Metals"",""Sector"":""Materials"",""HQ_Location"":""New York, NY"",""Website"":""http://www.alcoa.com""}}"
BA,The Boeing Company,NYSE,"{""Company_Info"":{""CEO"":""Dennis A. Muilenburg"",""Industry"":""Aerospace and Defense"",""Sector"":""Aerospace & Defense"",""HQ_Location"":""Chicago, IL"",""Website"":""http://www.boeing.com""}}"
AAPL,Apple Inc.,NasdaqGS,"{""Company_Info"":{""CEO"":""Timothy D. Cook"",""Industry"":""Computers, Office Equipment"",""Sector"":""Technology"",""HQ_Location"":""Cupertino, CA"",""Website"":""http://www.apple.com""}}"
AMZN,Amazon.com Inc.,NasdaqGS,"{""Company_Info"":{""CEO"":""Jeffrey P. Bezos"",""Industry"":""Internet Services and Retailing"",""Sector"":""Technology"",""HQ_Location"":""Seattle, WA"",""Website"":""http://www.amazon.com""}}"
KO,The Coca-Cola Company,NYSE,"{""Company_Info"":{""CEO"":""Muhtar Kent"",""Industry"":""Beverages"",""Sector"":""Food, Beverages & Tobacco"",""HQ_Location"":""Atlanta, GA"",""Website"":""http://www.coca-colacompany.com""}}"
MCD,McDonald's Corp.,NYSE,"{""Company_Info"":{""CEO"":""Steve J. Easterbrook"",""Industry"":""Food Services"",""Sector"":""Hotels, Resturants & Leisure"",""HQ_Location"":""Oak Brook, IL"",""Website"":""http://www.aboutmcdonalds.com""}}"
SBUX,Starbucks Corporation,NasdaqGS,"{""Company_Info"":{""CEO"":""Howard D. Schultz"",""Industry"":""Food Services"",""Sector"":""Hotels, Resturants & Leisure"",""HQ_Location"":""Seattle, WA"",""Website"":""http://www.starbucks.com""}}"
HPQ,Hewlett-Packard Company,NYSE,"{""Company_Info"":{""CEO"":""Margaret C. Whitman"",""Industry"":""Computers, Office Equipment"",""Sector"":""Technology"",""HQ_Location"":""Palo Alto, CA"",""Website"":""http://www.hp.com""}}"
MSFT,Microsoft Corporation,NasdaqGS,"{""Company_Info"":{""CEO"":""Satya Nadella"",""Industry"":""Computer Software"",""Sector"":""Technology"",""HQ_Location"":""Redmond, WA"",""Website"":""http://www.microsoft.com""}}"
GOOGL,Google Inc.,NasdaqGS,"{""Company_Info"":{""CEO"":""Larry Page"",""Industry"":""Internet Services and Retailing"",""Sector"":""Technology"",""HQ_Location"":""Mountain View, CA"",""Website"":""http://www.google.com""}}"
FB,"Facebook, Inc.",NasdaqGS,
TWTR,"Twitter, Inc.",NYSE,
DDD,3D Systems Corporation,NYSE,
MMM,3M Company,NYSE,"{""Company_Info"":{""CEO"":""Inge G. Thulin"",""Industry"":""zMiscellaneous"",""Sector"":""Household Products"",""HQ_Location"":""St. Paul, MN"",""Website"":""http://www.3m.com""}}"
XXII,"22nd Century Group, Inc.",NYSE,
BAC,Bank of America Corporation,NYSE,
T,"AT&T, Inc.",NYSE,"{""Company_Info"":{""CEO"":""Randall L. Stephenson"",""Industry"":""Telecommunications"",""Sector"":""Telecommunications"",""HQ_Location"":""Dallas, TX"",""Website"":""http://www.att.com""}}"
AXP,American Express Company,NYSE,"{""Company_Info"":{""CEO"":""Kenneth I. Chenault"",""Industry"":""Commercial Banks"",""Sector"":""Financials"",""HQ_Location"":""New York, NY"",""Website"":""http://www.americanexpress.com""}}"
BP,BP p.l.c.,NYSE,
BAX,Baxter International Inc.,NYSE,"{""Company_Info"":{""CEO"":""Robert L. Parkinson Jr."",""Industry"":""Medical Products and Equipment"",""Sector"":""Health Care"",""HQ_Location"":""Deerfield, IL"",""Website"":""http://www.baxter.com""}}"
X,United States Steel Corp.,NYSE,"{""Company_Info"":{""CEO"":""Mario Longhi"",""Industry"":""Metals"",""Sector"":""Materials"",""HQ_Location"":""Pittsburgh, PA"",""Website"":""http://www.ussteel.com""}}"
XOM,Exxon Mobil Corporation,NYSE,
HAL,Halliburton Company,NYSE,"{""Company_Info"":{""CEO"":""David J. Lesar"",""Industry"":""Oil and Gas Equipment, Services"",""Sector"":""Energy"",""HQ_Location"":""Houston, TX"",""Website"":""http://www.halliburton.com""}}"
F,Ford Motor Co.,NYSE,"{""Company_Info"":{""CEO"":""Mark Fields"",""Industry"":""Motor Vehicles and Parts"",""Sector"":""Motor Vehicles & Parts"",""HQ_Location"":""Dearborn, MI"",""Website"":""http://www.ford.com""}}"
WFC,Wells Fargo & Company,NYSE,"{""Company_Info"":{""CEO"":""John G. Stumpf"",""Industry"":""Commercial Banks"",""Sector"":""Financials"",""HQ_Location"":""San Francisco, CA"",""Website"":""http://www.wellsfargo.com""}}"
FDX,FedEx Corporation,NYSE,"{""Company_Info"":{""CEO"":""Frederick W. Smith"",""Industry"":""Mail, Package, and Freight Delivery"",""Sector"":""Transportation"",""HQ_Location"":""Memphis, TN"",""Website"":""http://www.fedex.com""}}"
